,Resting heart rate (bpm),Heart rate variability (ms),Day Strain,Average HR (bpm),Respiratory rate (rpm),Asleep duration (min),Deep (SWS) duration (min),REM duration (min),Recovery score %
27,0.5714285714285712,0.6666666666666666,0.7397260273972603,0.040000000000000036,0.3500000000000014,0.508650519031142,0.44036697247706424,0.6859903381642511,88.0
28,0.35714285714285765,0.9999999999999999,0.04794520547945208,0.31999999999999984,0.5,0.8754325259515571,0.7339449541284403,0.7294685990338163,96.0
29,0.35714285714285765,0.24691358024691357,0.636986301369863,0.3999999999999999,0.5500000000000007,0.2110726643598616,0.4128440366972478,0.21256038647342995,42.0
30,0.2857142857142856,0.4444444444444444,0.636986301369863,0.20000000000000018,0.8000000000000007,0.4844290657439446,0.5871559633027522,0.4541062801932367,79.0
31,0.7857142857142856,0.18518518518518523,0.5410958904109588,0.3599999999999999,0.8000000000000007,0.5951557093425607,0.6605504587155963,0.5024154589371981,32.0
32,0.4285714285714288,0.2592592592592592,0.17123287671232879,0.56,0.6500000000000004,0.6262975778546714,0.5596330275229359,0.5072463768115941,45.0
33,0.4285714285714288,0.2716049382716049,0.5136986301369862,0.2799999999999998,0.45000000000000107,0.8858131487889275,0.6788990825688074,0.40579710144927533,47.0
34,0.35714285714285765,0.3086419753086419,0.773972602739726,0.43999999999999995,0.6000000000000014,0.8442906574394465,0.9357798165137615,0.5024154589371981,53.0
35,0.14285714285714324,0.41975308641975306,0.6986301369863013,0.31999999999999984,0.45000000000000107,0.7750865051903114,0.5871559633027522,0.4782608695652173,69.0
36,0.2857142857142856,0.40740740740740733,0.6780821917808219,0.16000000000000014,0.3500000000000014,0.657439446366782,0.7247706422018348,0.47342995169082125,70.0
37,0.5714285714285712,0.23456790123456794,0.5616438356164383,0.52,0.75,0.5190311418685122,0.3027522935779817,0.5797101449275361,39.0
38,0.2857142857142856,0.3950617283950617,0.5136986301369862,0.3599999999999999,0.5500000000000007,0.6920415224913495,0.5779816513761468,0.45893719806763283,68.0
39,0.2142857142857144,0.32098765432098764,0.8150684931506849,0.31999999999999984,0.45000000000000107,0.9377162629757786,0.5321100917431193,0.5458937198067633,57.0
40,0.07142857142857162,0.6049382716049382,0.5410958904109588,0.2799999999999998,0.40000000000000036,0.6262975778546714,0.6055045871559633,0.6618357487922705,95.0
41,0.35714285714285765,0.33333333333333337,0.7191780821917808,0.0,0.6000000000000014,0.33564013840830464,0.3853211009174312,0.4347826086956521,59.0
42,0.14285714285714324,0.3950617283950617,0.0,0.3999999999999999,0.3000000000000007,0.7301038062283737,0.5137614678899083,0.42512077294685985,73.0
43,0.0,0.28395061728395066,0.5,0.16000000000000014,0.45000000000000107,0.7197231833910035,0.7339449541284403,0.536231884057971,57.0
44,0.2142857142857144,0.5679012345679012,0.5890410958904109,0.3599999999999999,0.8000000000000007,0.7093425605536333,0.37614678899082576,0.7294685990338163,94.0
45,0.7857142857142856,0.23456790123456794,0.7191780821917808,0.31999999999999984,0.6000000000000014,0.4325259515570935,0.6330275229357799,0.4492753623188405,38.0
46,0.14285714285714324,0.28395061728395066,0.18493150684931509,0.31999999999999984,0.40000000000000036,0.6885813148788927,0.6330275229357799,0.5942028985507246,61.0
